tab 	rmag_anisotropy
er_citation_names	anisotropy_sigma	magic_experiment_names	anisotropy_s6	anisotropy_type	er_site_name	er_sample_name	er_location_name	anisotropy_s5	anisotropy_s4	anisotropy_s3	anisotropy_s2	anisotropy_s1	er_specimen_name	anisotropy_unit	magic_method_codes
This study	0	1.36170:AMS	0.0127	AMS	unknown	unknown	Unknown	0.0388	0.2177	1.31210	1.21310	1.36170	unknown	SI	LP-X
This study	0	1.36190:AMS	0.1517	AMS	unknown	unknown	Unknown	0.1312	0.11895	1.35370	1.20630	1.36190	unknown	SI	LP-X
This study	105	1.36190:AMS	0.1215	AMS	unknown	unknown	Unknown	0.02555	0.0231	1.44140	1.47630	1.36190	unknown	SI	LP-X
This study	105	1.37170:AMS	0.1245	AMS	unknown	unknown	Unknown	0.1714	0.099	1.41140	1.30460	1.37170	unknown	SI	LP-X
This study	0	1.39120:AMS	0.0122	AMS	unknown	unknown	Unknown	0.08305	-0.0087	1.21700	1.13930	1.39120	unknown	SI	LP-X
This study	105	1.39120:AMS	0.0081	AMS	unknown	unknown	Unknown	0.15395	-0.10629	1.45120	1.34120	1.39120	unknown	SI	LP-X
This study	105	1.39120:AMS	0.1661	AMS	unknown	unknown	Unknown	-0.0142	-0.0661	1.33940	1.47410	1.39120	unknown	SI	LP-X
This study	0	1.39210:AMS	-0.09085	AMS	unknown	unknown	Unknown	-0.14535	-0.3323	1.32180	1.38650	1.39210	unknown	SI	LP-X
This study	0	1.39500:AMS	0.0778	AMS	unknown	unknown	Unknown	0.04505	0.0821	1.28000	1.32910	1.39500	unknown	SI	LP-X
This study	0	1.40120:AMS	0.0791	AMS	unknown	unknown	Unknown	0.1958	0.0684	1.21790	1.21190	1.40120	unknown	SI	LP-X
This study	0	1.40910:AMS	-0.01395	AMS	unknown	unknown	Unknown	0.0734	-0.0177	1.21910	1.14500	1.40910	unknown	SI	LP-X
This study	0	1.41120:AMS	0.134	AMS	unknown	unknown	Unknown	0.1094	-0.07195	1.21320	1.71230	1.41120	unknown	SI	LP-X
This study	0	1.41320:AMS	-0.00655	AMS	unknown	unknown	Unknown	0.0819	-0.0964	1.43120	1.62130	1.41320	unknown	SI	LP-X
This study	0	1.41790:AMS	-0.1156	AMS	unknown	unknown	Unknown	-0.09885	-0.26835	1.25770	1.37190	1.41790	unknown	SI	LP-X
This study	0	1.41910:AMS	0.04225	AMS	unknown	unknown	Unknown	0.01525	-0.08275	1.51990	1.71220	1.41910	unknown	SI	LP-X
This study	0	1.41960:AMS	-0.06165	AMS	unknown	unknown	Unknown	-0.11895	-0.1353	1.69030	1.81310	1.41960	unknown	SI	LP-X
This study	0	1.42780:AMS	-0.05755	AMS	unknown	unknown	Unknown	0.0039	-0.17645	1.24720	1.21450	1.42780	unknown	SI	LP-X
This study	130	1.42780:AMS	0.09845	AMS	unknown	unknown	Unknown	-0.07815	-0.01655	1.66570	1.79710	1.42780	unknown	SI	LP-X
This study	0	1.43210:AMS	-0.07455	AMS	unknown	unknown	Unknown	0.0814	0.0731	1.31350	1.15970	1.43210	unknown	SI	LP-X
This study	0	1.43270:AMS	0.0613	AMS	unknown	unknown	Unknown	-0.0002	-0.15665	1.42710	1.86170	1.43270	unknown	SI	LP-X
This study	105	1.43600:AMS	-0.0739	AMS	unknown	unknown	Unknown	-0.1151	0.06555	1.61660	1.65750	1.43600	unknown	SI	LP-X
This study	105	1.43920:AMS	0.0522	AMS	unknown	unknown	Unknown	0.08385	-0.0094	1.32180	1.44320	1.43920	unknown	SI	LP-X
This study	105	1.44180:AMS	0.04845	AMS	unknown	unknown	Unknown	-0.07775	0.08995	1.43170	1.59720	1.44180	unknown	SI	LP-X
This study	105	1.44420:AMS	-0.0575	AMS	unknown	unknown	Unknown	-0.02455	0.0246	1.78070	1.47690	1.44420	unknown	SI	LP-X
This study	105	1.45240:AMS	0.1396	AMS	unknown	unknown	Unknown	0.0821	-0.0573	1.33730	1.48510	1.45240	unknown	SI	LP-X
This study	105	1.45440:AMS	0.2838	AMS	unknown	unknown	Unknown	0.151	0.02225	1.32990	1.39110	1.45440	unknown	SI	LP-X
This study	0	1.49110:AMS	-0.03555	AMS	unknown	unknown	Unknown	0.0345	-0.15165	1.45110	1.71320	1.49110	unknown	SI	LP-X
This study	0	1.49120:AMS	0.0398	AMS	unknown	unknown	Unknown	-0.11065	-0.16555	1.45210	1.71220	1.49120	unknown	SI	LP-X
This study	105	1.49330:AMS	0.00415	AMS	unknown	unknown	Unknown	-0.13145	-0.0164	1.46870	1.59200	1.49330	unknown	SI	LP-X
This study	105	1.49330:AMS	-0.00095	AMS	unknown	unknown	Unknown	-0.02125	0.0592	1.61720	1.59570	1.49330	unknown	SI	LP-X
This study	105	1.49520:AMS	-0.0847	AMS	unknown	unknown	Unknown	-0.1404	-0.03935	1.50970	1.66370	1.49520	unknown	SI	LP-X
This study	0	1.49990:AMS	-0.06995	AMS	unknown	unknown	Unknown	-0.0899	-0.06455	1.51230	1.50160	1.49990	unknown	SI	LP-X
This study	0	1.50110:AMS	0.0069	AMS	unknown	unknown	Unknown	-0.03035	-0.0344	1.49220	1.50110	1.50110	unknown	SI	LP-X
This study	0	1.50120:AMS	-0.0012	AMS	unknown	unknown	Unknown	0.0481	-0.0638	1.42110	1.61120	1.50120	unknown	SI	LP-X
