ROCKUNIT	RLAT	RLONG	COMPONENT	LOMAGAGE	HIMAGAGE	DEC	INC	N	KD	ED95	PLAT	PLONG	DP	DM	AUTHORS	YEAR
Jurassic Intrusives	-33,7	150,4		172	185	314,2	-72,4	35	98,4	6,8	51	6,1	10,9	10,9	Schmidt,P.W.	1976
Gibralter Microsyenite	-34,5	150,4		173	183	167,6	79,5	13	25,3	25,1	54,2	337,7	30	31	Thomas,D.N., Biggin,A.J., Schmidt,P.W.	2000
Glenrowan Intrusives	-31,1	149,9		176	186	304,8	-66,4	4			45,2	20			Schmidt,P.W.	1976
Gibralter Syenite	-33,8	150,8		177	187	27	-86	10	9	12	41	326	24	24	Boesen,R., Irving,E., Robertson,W.A.	1961
Garrawilla Volcanics and Moonbi Extrusives	-31	150		187	207	315,9	-76,7	36	52		46,1	355,2	10	10	Schmidt,P.W.	1976
Western Victoria Basalt Belt	-37,3	141,4		189	199	300,9	-75,3	36	37,6	11,1	47	358	18	18	Schmidt,P.W.	1976
Kiama Dykes	-34,6	150,8		190	210	331,9	-77,1	24	102	7,6	55	350,6	14	14	Schmidt,P.W.	1990
Brown Clays	-32,5	138,5		200	228	98,4	75,3	6	26,3		32,3	349,9	23,8	23,8	Schmidt,P.W., Currey,D.J., Ollier,C.D.	1976
Brisbane Tuff	-27,5	153,5		200	228	35	-83	12			39	323			Irving,E., Green,R.	1958
Werrikimbe Volcanics	-31,3	152,3		200	228	100,8	75,1	44		14,9	31,6	5,3	26,6	26,6	Schmidt,P.W., Aubourg,C., Lennox,P.G., Roberts,J.	1994
Knapp Head Dyke	-35,1	117,5		200	251	290	-71,8	7	145,7	5	39,4	339,1	7,7	8,8	Harris,L.B., Li,Z.X.	1995
