   1952.00      9.43  25241.68   6653.57  43053.25  26103.87  50348.73
   1953.00      9.42  25237.71   6639.15  43017.00  26096.36  50313.84
   1954.00      9.42  25233.64   6627.12  42983.38  26089.37  50281.47
   1955.00      9.41  25229.05   6615.85  42950.11  26082.07  50249.24
   1956.00      9.40  25223.63   6604.17  42915.32  26073.87  50215.25
   1957.00      9.40  25217.87   6592.78  42879.16  26065.41  50179.96
   1958.00      9.39  25212.29   6582.83  42842.27  26057.50  50144.33
   1959.00      9.38  25207.12   6574.23  42804.37  26050.32  50108.22
   1960.00      9.38  25202.02   6565.73  42764.46  26043.24  50070.45
   1961.00      9.37  25196.63   6556.15  42722.08  26035.62  50030.29
   1962.00      9.36  25190.56   6544.91  42679.50  26026.91  49989.40
   1963.00      9.35  25183.24   6531.62  42639.51  26016.48  49949.83
   1964.00      9.35  25174.86   6516.92  42602.47  26004.69  49912.07
   1965.00      9.34  25166.20   6502.58  42566.24  25992.71  49874.90
   1966.00      9.33  25158.07   6489.69  42529.15  25981.62  49837.47
   1967.00      9.33  25151.55   6476.75  42492.48  25972.08  49801.20
   1968.00      9.32  25147.69   6461.63  42458.01  25964.57  49767.88
   1969.00      9.31  25146.06   6443.84  42425.69  25958.57  49737.18
   1970.00      9.31  25144.79   6424.50  42393.80  25952.54  49706.83
   1971.00      9.30  25142.14   6404.36  42360.85  25945.00  49674.79
   1972.00      9.30  25137.47   6382.40  42326.77  25935.06  49640.54
   1973.00      9.29  25130.33   6357.19  42291.91  25921.95  49603.96
   1974.00      9.28  25120.29   6328.29  42255.90  25905.14  49564.48
   1975.00      9.27  25106.82   6296.28  42217.79  25884.27  49521.08
   1976.00      9.26  25089.71   6261.90  42177.01  25859.33  49473.27
   1977.00      9.25  25069.81   6226.34  42134.14  25831.43  49422.14
   1978.00      9.25  25048.38   6190.94  42090.22  25802.11  49369.38
   1979.00      9.24  25027.03   6157.08  42045.18  25773.27  49315.90
   1980.00      9.22  25007.85   6126.23  41997.88  25747.30  49262.01
   1981.00      9.21  24992.26   6099.56  41947.36  25725.82  49207.71
   1982.00      9.20  24979.03   6077.12  41894.17  25707.65  49152.87
   1983.00      9.19  24966.28   6058.65  41839.12  25690.90  49097.20
   1984.00      9.18  24952.52   6043.13  41782.64  25673.87  49040.15
   1985.00      9.17  24936.76   6028.81  41724.84  25655.19  48981.13
   1986.00      9.16  24918.44   6014.19  41666.04  25633.95  48919.91
   1987.00      9.15  24898.54   5998.85  41607.11  25611.00  48857.70
   1988.00      9.14  24878.45   5982.63  41549.09  25587.67  48796.06
   1989.00      9.13  24859.26   5966.27  41491.80  25565.20  48735.49
   1990.00      9.12  24841.73   5951.34  41433.74  25544.67  48675.30
   1991.00      9.10  24826.63   5939.41  41373.54  25527.21  48614.90
   1992.00      9.09  24814.72   5932.10  41309.62  25513.92  48553.52
   1993.00      9.08  24806.77   5930.98  41240.60  25505.93  48490.61
   1994.00      9.07  24803.54   5937.69  41164.98  25504.34  48425.47
   1995.00      9.06  24805.78   5953.79  41081.20  25510.28  48357.41
   1996.00      9.04  24814.33   5980.89  40987.92  25524.93  48285.93
   1997.00      9.03  24829.82   6020.61  40883.62  25549.32  48210.35
   1998.00      9.01  24853.15   6074.50  40766.76  25584.74  48130.11
   1999.00      9.00  24884.97   6144.17  40635.88  25632.26  48044.64
   2000.00      8.98  24926.13   6231.27  40489.65  25693.20  47953.65
