tab 	magic_measurements
measurement_temp	er_citation_names	magic_software_packages	measurement_number	measurement_standard	er_site_name	er_sample_name	treatment_temp	magic_instrument_codes	er_location_name	measurement_magn_moment	measurement_flag	magic_experiment_name	measurement_lab_field_dc	er_specimen_name	treatment_dc_field	magic_method_codes	er_scientist_mail_names
273	This study	pmagpy-1.51b	49	u		TC04-15-03	273	SIO-Maud	unknown	7.976e-07	g	TC04-15-03F:LP-HYS	3.090e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	50	u		TC04-15-03	273	SIO-Maud	unknown	7.971e-07	g	TC04-15-03F:LP-HYS	3.050e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	51	u		TC04-15-03	273	SIO-Maud	unknown	7.966e-07	g	TC04-15-03F:LP-HYS	3.010e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	52	u		TC04-15-03	273	SIO-Maud	unknown	7.961e-07	g	TC04-15-03F:LP-HYS	2.970e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	53	u		TC04-15-03	273	SIO-Maud	unknown	7.956e-07	g	TC04-15-03F:LP-HYS	2.930e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	54	u		TC04-15-03	273	SIO-Maud	unknown	7.949e-07	g	TC04-15-03F:LP-HYS	2.890e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	55	u		TC04-15-03	273	SIO-Maud	unknown	7.944e-07	g	TC04-15-03F:LP-HYS	2.850e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	56	u		TC04-15-03	273	SIO-Maud	unknown	7.937e-07	g	TC04-15-03F:LP-HYS	2.810e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	57	u		TC04-15-03	273	SIO-Maud	unknown	7.932e-07	g	TC04-15-03F:LP-HYS	2.770e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	58	u		TC04-15-03	273	SIO-Maud	unknown	7.925e-07	g	TC04-15-03F:LP-HYS	2.730e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	59	u		TC04-15-03	273	SIO-Maud	unknown	7.917e-07	g	TC04-15-03F:LP-HYS	2.690e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	60	u		TC04-15-03	273	SIO-Maud	unknown	7.910e-07	g	TC04-15-03F:LP-HYS	2.650e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	61	u		TC04-15-03	273	SIO-Maud	unknown	7.903e-07	g	TC04-15-03F:LP-HYS	2.610e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	62	u		TC04-15-03	273	SIO-Maud	unknown	7.895e-07	g	TC04-15-03F:LP-HYS	2.570e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	63	u		TC04-15-03	273	SIO-Maud	unknown	7.886e-07	g	TC04-15-03F:LP-HYS	2.530e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	64	u		TC04-15-03	273	SIO-Maud	unknown	7.879e-07	g	TC04-15-03F:LP-HYS	2.489e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	65	u		TC04-15-03	273	SIO-Maud	unknown	7.870e-07	g	TC04-15-03F:LP-HYS	2.450e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	66	u		TC04-15-03	273	SIO-Maud	unknown	7.861e-07	g	TC04-15-03F:LP-HYS	2.409e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	67	u		TC04-15-03	273	SIO-Maud	unknown	7.850e-07	g	TC04-15-03F:LP-HYS	2.369e-01	TC04-15-03F		LP-HYS	
