Sample Box No.	Depth (meters)	MS vol-SI (low freq.)	FD of MS %	NRM A/m	ARM A/m	IRM 1.2T A/m	IRM -0.3T A/m	HIRM A/m	S	Comments
837	10.46	5.23E-04	7.61	1.01E-02	1.52E-01	5.48E+00	-3.52E+00	9.76E-01	0.64
839	10.51	3.34E-04	5.28	7.84E-03	1.14E-01	4.49E+00	-2.63E+00	9.34E-01	0.58
841	10.57	6.08E-04	8.51	6.84E-03	1.95E-01	5.90E+00	-3.90E+00	9.99E-01	0.66
843	10.61	1.15E-03	8.98	2.37E-02	5.23E-01	1.03E+01	-7.95E+00	1.16E+00	0.77
844	10.66	6.75E-04	8.08	1.11E-02	2.15E-01	6.48E+00	-4.31E+00	1.08E+00	0.67
845	10.72	1.70E-03	8.61	3.91E-02	1.00E+00	1.56E+01	-1.32E+01	1.16E+00	0.85
846	10.76	4.55E-03	6.9	1.13E-01	3.07E+00	5.10E+01	-4.83E+01	1.38E+00	0.95
Slug 11/B									
847	10.79	1.60E-03	6.96	5.28E-02	1.08E+00	1.88E+01	-1.59E+01	1.41E+00	0.85
849	10.85	6.60E-04	8.59	1.59E-02	2.32E-01	7.58E+00	-5.15E+00	1.21E+00	0.68
851	10.91	3.34E-03	6.35	1.16E-01	2.41E+00	3.77E+01	-3.46E+01	1.53E+00	0.92
853	10.95	3.15E-03	7.28	1.06E-01	2.27E+00	3.58E+01	-3.30E+01	1.41E+00	0.92
855	11	2.14E-03	7.94	6.63E-02	1.53E+00	2.17E+01	-1.94E+01	1.13E+00	0.9
857	11.05	2.43E-03	7.21	8.00E-02	1.63E+00	2.59E+01	-2.32E+01	1.35E+00	0.9
859	11.1	1.53E-03	7.61	5.25E-02	8.88E-01	1.69E+01	-1.41E+01	1.43E+00	0.83
861	11.14	2.53E-03	8.31	7.75E-02	1.50E+00	2.33E+01	-2.06E+01	1.34E+00	0.89
848	11.21	7.52E-04	9.57	1.69E-02	2.80E-01	7.88E+00	-5.35E+00	1.26E+00	0.68
850	11.26	1.14E-03	9.1	1.89E-02	5.00E-01	1.03E+01	-8.33E+00	1.00E+00	0.81
852	11.31	9.54E-04	9.26	1.66E-02	3.61E-01	8.73E+00	-6.58E+00	1.08E+00	0.75
854	11.36	4.85E-04	8.54	1.14E-02	1.62E-01	5.43E+00	-3.79E+00	8.19E-01	0.7
856	11.41	5.03E-04	8.97	1.22E-02	1.78E-01	5.33E+00	-3.85E+00	7.40E-01	0.72
858	11.49	1.15E-04	6.79	2.67E-03	4.90E-02	1.90E+00	-1.19E+00	3.56E-01	0.63
860	11.54	2.89E-04	7.83	6.88E-03	1.02E-01	3.37E+00	-2.28E+00	5.48E-01	0.68
862	11.59	1.08E-03	8.02	2.07E-02	4.93E-01	1.05E+01	-8.63E+00	9.50E-01	0.82
Slug 12/A									
863	11.59	1.12E-03	8.12	2.32E-02	4.80E-01	1.09E+01	-8.83E+00	1.01E+00	0.81
865	11.64	1.39E-03	7.17	3.31E-02	6.40E-01	1.38E+01	-1.18E+01	1.03E+00	0.85
867	11.69	9.55E-04	7.17	2.11E-02	4.51E-01	1.02E+01	-8.43E+00	8.75E-01	0.83
869	11.74	1.76E-03	6.93	3.75E-02	1.03E+00	1.90E+01	-1.65E+01	1.25E+00	0.87
871	11.79	1.05E-03	9.08	1.48E-02	4.15E-01	9.60E+00	-7.55E+00	1.03E+00	0.79
873	11.84	1.18E-03	6.88	1.90E-02	6.30E-01	1.27E+01	-1.04E+01	1.18E+00	0.82
